PORTFOLIO DASHBOARD - 3-TIER STOCK RATING SYSTEM,,,,,
Last Updated: [DATE],,,,,
,,,,,
PORTFOLIO SUMMARY,,,,,
Total Portfolio Value,$[ENTER VALUE],,,,
,,,,,
Tier,Target %,Current %,Current Value,Variance,Action
Tier 1 (Core),45%,=[SUM TIER1],=B8*$B$5,=C8-B8,"=IF(ABS(E8)>0.05,""Rebalance"",""OK"")"
Tier 2 (Emerging),30%,=[SUM TIER2],=B9*$B$5,=C9-B9,"=IF(ABS(E9)>0.05,""Rebalance"",""OK"")"
Tier 3 (Moonshots),20%,=[SUM TIER3],=B10*$B$5,=C10-B10,"=IF(ABS(E10)>0.05,""Rebalance"",""OK"")"
Cash,5%,=[CALC],=B11*$B$5,=C11-B11,
TOTAL,100%,=SUM(C8:C11),=SUM(D8:D11),,
,,,,,
PORTFOLIO METRICS,,,,,
Average Composite Score - Tier 1,=[AVG],,,,
Average Composite Score - Tier 2,=[AVG],,,,
Average Composite Score - Tier 3,=[AVG],,,,
Overall Portfolio Score,=[WEIGHTED AVG],,,,
,,,,,
TOP HOLDINGS,Symbol,Tier,Score,Allocation %,Rating
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
,,,,,
ALERTS & ACTION ITEMS,,,,,
Stocks Below 65 Score (Review),[AUTO-POPULATE],,,,
Positions >10% Over Target (Trim),[AUTO-POPULATE],,,,
Tier 3 Stop Losses Hit,[AUTO-POPULATE],,,,
Cash Deployment Opportunities (Score 80+),[AUTO-POPULATE],,,,
,,,,,
PERFORMANCE TRACKING,,,,,
Month,Portfolio Return %,S&P 500 %,QQQ %,Relative Performance,Notes
Current Month,,,,,
,,,,,
SCORING LEGEND,,,,,
85-100,Strong Buy ⭐⭐⭐⭐⭐,Actively add to position,,,
75-84,Buy ⭐⭐⭐⭐,Add or hold current position,,,
65-74,Hold ⭐⭐⭐,"Monitor, no action needed",,,
50-64,Reduce ⭐⭐,Consider trimming position,,,
0-49,Sell ⭐,Exit position,,,
